Name,Rating,Review
Cliente Amazon,"4,0","Ho acquistato questa aspirapolvere in quanto cercavo qualcosa di pratico, da utilizzare anche tutti i giorni visto che in casa abbiamo un animale domestico e questa soluzione mi è sembrata la più pratica: un aspirapolvere senza filo sempre pronta a portata di mano. Le prime settimane hanno confermato questa scelta, ho lasciato da parte il mio robot aspirapolvere e un'aspirapolvere tradizionale a traino e con filo.PROBatteria -  sembra di ottima durata, in modalità massima in realtà non dura molto, ma non è necessaria: l'ottima modalità Auto, che regola la potenza in funzione del tipo di pavimento su cui passiamo, è geniale, in tale modalità si passa un'intero appartamento (120 mq) senza problemi. Ammetto che non ho tappeti, ma considerato il fatto che solo quando si passa lì sopra la potenza aumenta per poi abbassarsi nel caso di superfici dure, non credo vi sarebbero problemi a concludere la pulizia.spazzola principale - inizialmente mi sembrava un po' stretta, tanto da ""coprire"" poca superficie ad ogni passata; in effetti non è larghissima ma questo consente in realtà di raggiungere luoghi più difficili; la spazzola è dotata inoltre di una luce (utilissima proprio nel caso dei peli di animale) e la possibilità di tagliare in maniera agevole eventuali capelli che si dovessero attorcigliare nella spazzola girevole (non ho ancora provato questa funzionalità ma la trovo utilissima); l'ho trovata inoltre molto ben fatta nello snodo, tanto da risultare estremamente pratica .Stazione di carica e supporto - ho apprezzato tantissimo la stazione di ricarica che oltre a tenere in piedi l'aspirapolvere, la ricarica e trova posto anche per le altre diverse bocchette che sono così sempre a disposizione e in ordine e che altrimenti bisogna lasciare in giro per casa o mettere in qualche armadio. La stazione di ricarica è veramente fatta bene, l'aspirapolvere viene trattenuta magneticamente e quindi non si fa alcun sforzo a riporla.CONTROpeso - premetto che è la prima aspirapolvere di questo tipo e quindi non posso fare confronti con altri articoli, tuttavia a lungo andare nella pulizia il peso si sente; ma ritengo che sia quasi impossibile fare diversamente quando ti porti dietro batteria e motore. Di contro le pulizie si fanno piuttosto rapidamente.Nel complesso sembra una scelta azzeccata, da valutare poi alla lunga a livello di affidabilità, in ogni caso il rapporto qualità-prezzo è il suo forte se confrontanto con le tante concorrenti più o meno blasonateLeggi di più"
Irnel Sadikovic,"3,0","Allora la usiamo da un pò la base devo dire utile e non anche perché basta che il cane ci prenda dentro e cade tutto, ci vorrebbe più peso, i attacchi dei vari utensili non li vedo molto saldi a parte il battimaterasso. Batteria se lo si porta fuori per magari pulire la macchina a max potenza non ci si riesce... quindi batteria da rivedere.... diciamo che mi aspettavo molto di più.Leggi di più"
signorello maria concetta,"5,0","Aspira tutto, molto potente, leggera e maneggevole, avevo letto nelle recensioni che la batteria durava poco.A tal proposito c'è qualcosa da dire, se viene usata in modalità auto oppure min o med aspira per 35/40 minuti sufficienti nel mio caso (ho un appartamento di circa 100mq) se viene usata la modalità turbo il tempo di aspirazione si riduce drasticamente ed è necessario rimettatla sottocarica (in modalità turbo ho aspirato il materasso, il tempo di passarla su tutta la superficie e la carica era finita).Quindi la carica dipende dalla modalità e arriva al massimo a 40 minuti di autonomia.Una pecca per me non poco rilevante è il fatto che la scopa non sta in piedi da sola ma bisogna appoggiarla al muro oppure nel supporto scopa che dev'essere necessariamente fissato al muro che tra l'altro è indispensabile per la ricarica.Nonostante ciò consiglio l'acquisto per la potenza di aspirazione perché fino ad ora ho sempre avuto problemi con le altre da questo punto di vista (non aspiravano i granelli o briciole più grandi).I materiali sembrano(la uso da una settimana) molto resistenti (l'ultima che ho acquistato faceva rumore di plastica quando la toccavo).Leggi di più"
Giuseppe Bracciante,"3,0","Ho voluto testare il prodotto almeno un paio di volte prima di rilasciare una recensione .I materiali usati per la composizione della aspirapolvere , sono di ottima qualità . Risulta molto maneggevole , e soprattutto leggera . La nota dolente di quest' aspirapolvere è la batteria . L'ho usata per 2 volte in modalità automatica , lasciando a lei la scelta della velocità d'aspirazione . È inconcepibile spendere 459 euro per un aspirapolvere che dura scarsi 15 minuti , se poi vi venisse in mente di usare il turbo , la carica va giù alla velocità della luce .Quest aspetto mi ha portato alla conclusione di effettuare il reso . È una grave mancanza per un aspirapolvere di questo livello , e da comodità si trasforma in "" stress"" poiché sei costretto a fare le corse per pulire casa .Mi dispiace , generalmente cerco sempre di trovare il lato positivo nelle cose , e non rilasci quasi mai recensioni negative, ma nel 2022 con i progressi della tecnologia , da un azienda come Electrolux una cosa del genere non la posso accettare .Leggi di più"
Cliente Amazon,"3,0",Leggero e maneggevole... Purtroppo la batteria dura poco...in futuro acquisterò una batteria di ricambioLeggi di più
Morena,"4,0","Primo prodotto ricevuto batteria anomala, 6 minuti durata totaliLeggi di più"
Max,"1,0","Ho comprato l'aspirapolvere come usato e a prima vista sembrava tutto perfetto. Dopo un paio di utilizzi mi rendo conto che la spazzola non ruotava e ho quindi avviato subito il reso (il giorno dopo!).L'aspetto deludente è che il servizio di Amazon non si è preso la briga nemmeno di leggere i motivi del reso del precedente utente, ma così come è arrivato non lo ha nemmeno controllato e lo ha rispedito, in questo caso a me.Negli ultimi anni sempre più spesso Amazon spedisce articoli senza fare nemmeno i controlli basilari, per non parlare dei prodotti acquistati come nuovi ma che arrivano usati.L'aspirapolvere per quello che ho potuto constatare è valido, costruito con ottimi materiali, solido e, nonostante il mancato funzionamento della spazzola, la potenza aspirante è più che soddisfacente tanto è vero che approfittando di un coupon da 100 euro con offerta a tempo ne ho ordinato un altro nuovo (sperando che non arrivi usato!) ma più accessoriato, quindi la stella è solo ed esclusivamente per il servizio di Amazon davvero scadente e pessimo.Leggi di più"
stefano,"5,0",Aspirapolvere molto leggera con una forza aspirante da top di gamma consiglio vivamenteLeggi di più
Roy,"4,0","Man ska ha klart för sig att ingen dammsugare av den här typen har riktigt kraftig sugeffekt. Det är därför flera munstycken har roterande borste för att lyfta upp dammet/smulorna.Alla tillbehör är fästa runt laddarstativet och finns därmed alltid till hands. Att skjuta in dammsugaren för laddning är mycket smidigt.Det finns även en knapp som gör att man kan få med sig endast handenheten om man så vill.Röret av aluminium har stor diameter och är mycket lätt att steglöst justera i längd, precis som på Electrolux vanliga dammsugare.Också som på deras dyrare vanliga dammsugare, anpassas sugkraften när man använder de större borstarna. Men det finns även svag och stark inställning.Det vanliga golvmunstycket fungerar faktiskt riktigt bra. Det tar utan vidare upp även smågrus.En liten finess är trådavskäraren som hyfsat (men inte mer) klipper av trådar som lindat sig runt borsten.Det andra golvmunstycket ska tydligen vara tänkt för golv med mycket springor. Varför, begriper jag inte. Istället för en roterande borste är det en filtklädd cylinder. Jag måste ha missuppfattat något. Kanske är det bra på att polera parkett. Jag använder det i praktiken aldrig, trots parkett i vardagsrummet. Där är trots allt mest mattor.Bägge munstyckena är lätta att öppna och ta ur cylindrarna för rengöring.Möbelmunstycket har också en roterande borste och är suveränt i soffa och fåtöljer. Det blir givetvis ingen djupsugning.Handenheten är framtung men inte överdrivet tung. (Tidiga Dyson har bättre balans, men inte de senare.)Det sitter en liten borste undertill som man kan fästa framtill för att suga upp smulor och liknande eller längs smala kanter.Det platta dammunstycket för hyllor och liknande har glest mellan borststråna så att dammet ska kunna sugas emellan. Trots det så föser det mest dammet framför sig. (Det gäller i ännu högre grad Dyson.)Det finns en vinklingsbar led att fästa munstycket på , så att man kommer åt även på till exempel höga hyllor.Till dammsugaren kan man även köpa en skurtillsats och det finns även munstycke för dem med husdjur.Dammtömning är inte alls lika enkel som på Dyson, som ju har en föredömligt enkel funktion för detta. Å andra sidan kommer man alltid åt de två filtren, vilket inte görs lika lätt på Dyson.Behållaren, turbinvingen och de två filtren kan tvättas i ljummet vatten och sen låta torka i ett dygn.Det undre filtret bör bytas efter sex månader, men det beror nog på hur mycket dammsugaren används. Det övre, strax under motorn, bör bytas efter ett år, men där ser man ännu bättre om det behövs.Den här dammsugaren kostar ju dubbelt så mycket som en riktigt bra konventionell dammsugare, så är den värd det?Rent krasst är den inte det. Jag köpte min till ett mycket förmånligt pris.Dyrast är definitivt inte alltid bäst, men de billiga som finns är verkligen inte bra. Läs gärna Råd & Röns stora test.Det är lite tyngre än ett vanligt rör med munstycke, men man slipper den långa snabeln, vilket känns befriande. Och ingen sladd att hålla rätt på.Kan den ersätta en vanlig dammsugare?Jovars. Den finns alltid till hands och ofta kommer man lättare åt med den.Jag har ändrat städrutinerna. Det blir ingen storstädning där man plöjer igenom rum efter rum. (Nåja, jag har inte fler än tre – plus hall, kök och badrum.) Allt måste inte göras samtidigt.Batterikapaciteten har inte varit något problem. Däremot blir dammbehållaren snabbt full.Jag har kvar min gamla vanliga dammsugare, men använder den nästan aldrig.Leggi di più"
Gerry,"4,0",DammsugningLeggi di più
